segment_type,segment_value,applicant_count,applicant_share,observed_default_rate,mean_default_probability,global_top10_review_rate,default_capture_rate_within_segment,non_default_review_rate,roc_auc,pr_auc
age_band,36-45,84261,0.2740097102217482,0.08408397716618601,0.35749834974958594,0.10138735595352535,0.4327452364149612,0.07096765833938012,0.84444267980824,0.35744556883115763
age_band,26-35,72429,0.23553303784254873,0.1066009471344351,0.4327044463289077,0.16780571318118434,0.5387903121357337,0.12353959324967546,0.8269448929961171,0.38342516284984485
age_band,46-55,70190,0.2282519974895207,0.07046587833024648,0.328014756789639,0.07287362872204017,0.3883946623534169,0.048954693151860705,0.8520368052956109,0.3476047160946581
age_band,56-65,60522,0.1968124717489781,0.05421169161627177,0.2847080818587675,0.034797263804897394,0.24504724169460532,0.02274593385859786,0.8448830439724041,0.28562512186540445
age_band,18-25,12233,0.03978069077203742,0.12294612932232486,0.5007188021078203,0.22504700400555874,0.5764627659574468,0.17578525491658123,0.800261470700805,0.36616073664260396
age_band,65+,7876,0.025612091925166905,0.036566785170137124,0.2113682255925904,0.010284408329101066,0.12152777777777778,0.006062203479177649,0.8551889313535993,0.2555431426648719
education_type,NAME_EDUCATION_TYPE_idx=0,218391,0.7101892290031901,0.08939928843221562,0.38196595911869125,0.11761015792775344,0.4631735300143413,0.08368407025801164,0.8377821550437459,0.3627803377218171
education_type,NAME_EDUCATION_TYPE_idx=1,74863,0.24344820185294186,0.05355115344028425,0.2753196325335788,0.04741995378224223,0.311549014716887,0.03247523075620289,0.8550854150859355,0.2944535278383748
education_type,NAME_EDUCATION_TYPE_idx=2,10277,0.0334199427012367,0.08484966429891992,0.3753059781621483,0.10032110538094775,0.42201834862385323,0.07049441786283892,0.8401340785937598,0.3518698429816982
education_type,NAME_EDUCATION_TYPE_idx=3,3816,0.012409312187206312,0.10927672955974843,0.4115902158001149,0.12447589098532495,0.460431654676259,0.0832597822889085,0.8349549839387096,0.40950112086830104
family_status,NAME_FAMILY_STATUS_idx=0,196432,0.6387804013514964,0.07559868045939562,0.34272360906854293,0.08954752789769488,0.4162289562289562,0.06283111762179071,0.8460363030094612,0.3407657973552207
family_status,NAME_FAMILY_STATUS_idx=1,45444,0.14778007941179339,0.0980767538068832,0.4016497075323354,0.1408766833905466,0.5007852815795378,0.10173957596311026,0.8339325965106925,0.3768459181917417
family_status,NAME_FAMILY_STATUS_idx=2,29775,0.0968258046053637,0.09944584382871537,0.40492624981199155,0.14005037783375315,0.508274231678487,0.09938837920489296,0.8389246676549752,0.38714143148154634
family_status,NAME_FAMILY_STATUS_idx=3,19770,0.06429038310824653,0.0819423368740516,0.35663574957078814,0.09428426909458776,0.4166666666666667,0.06550964187327823,0.8418439274903922,0.35680254871919137
family_status,NAME_FAMILY_STATUS_idx=4,16088,0.05231682769071676,0.058242168075584286,0.29995126815481293,0.04512680258577822,0.27748132337246534,0.030757045739555147,0.846531046730082,0.2967046972806572
gender_proxy,CODE_GENDER_idx=0,202448,0.6583439291602576,0.06999328222555916,0.3280919966224157,0.07909685450090888,0.3895553987297107,0.05573141843444269,0.8460869058451629,0.3308046456838143
gender_proxy,CODE_GENDER_idx=1,105059,0.34164306317497584,0.1014192025433328,0.41009895112412276,0.14029259749283735,0.5005161895823557,0.09963560866064997,0.8351622720135834,0.37953099469846474
income_band,100k-150k,91591,0.29784625590629277,0.08618750750619603,0.3745800188027119,0.11484752868731644,0.45692931340258425,0.08258360514713789,0.8398330597358257,0.3546117018010141
income_band,200k-300k,65176,0.21194688970475853,0.07550325273106664,0.33947220516269005,0.08549159199705413,0.4033732981101402,0.05953032943324205,0.8464248207733134,0.3414100288269013
income_band,150k-200k,64307,0.2091209745342443,0.08446980888550236,0.3648310813826164,0.10435877898207038,0.4479013254786451,0.07266242038216561,0.8425971251590794,0.3604195825372949
income_band,<100k,63698,0.2071405575735502,0.08202769317717981,0.36426023528270185,0.10568620678828221,0.4537799043062201,0.0745814307458143,0.8410989082025916,0.35802737889829217
income_band,300k+,22739,0.07394532228115416,0.05950129733057742,0.2819194594453353,0.05356436078983245,0.3377679231337768,0.0355840269335079,0.8673377303219483,0.3347352635686746
occupation_type,OCCUPATION_TYPE_idx=0,96391,0.31345545362604915,0.06513056198192778,0.3167658689658341,0.0645184716415433,0.3518636508442179,0.044499683730427356,0.8465334436367136,0.3203101069678016
occupation_type,OCCUPATION_TYPE_idx=1,55186,0.1794602469505156,0.10578769977892943,0.41856403589415625,0.1531729061718552,0.5157588215142171,0.11027802545189268,0.831872047956188,0.38568108392407163
occupation_type,OCCUPATION_TYPE_idx=2,32102,0.10439301358325394,0.0963179864182917,0.4038030466999333,0.13204784748613793,0.4576326002587322,0.09734574284729404,0.8255203964551636,0.35478528646755314
occupation_type,OCCUPATION_TYPE_idx=3,27570,0.08965532940285063,0.06303953572723975,0.31912734646130125,0.07515415306492565,0.38550057537399307,0.054273768968720965,0.8532559102794333,0.3163239577936905
occupation_type,OCCUPATION_TYPE_idx=4,21371,0.0694967009310236,0.06214028356183613,0.29258279557215805,0.056384820551214264,0.3569277108433735,0.0364715860899067,0.8650852850107209,0.35218860597382645
occupation_type,OCCUPATION_TYPE_idx=5,18603,0.06049539691263077,0.11326130194054722,0.4309920039726828,0.15180347255818954,0.5059326056003797,0.10657129000969932,0.8202293334720484,0.39314997338062524
occupation_type,OCCUPATION_TYPE_idx=6,11380,0.037006806260589054,0.06159929701230228,0.3123135564208863,0.07082601054481547,0.3666191155492154,0.05140930798763929,0.837466549131383,0.2899913269764825
occupation_type,OCCUPATION_TYPE_idx=7,9813,0.031911053588326924,0.04830327117089575,0.26959222283258266,0.04555181901559156,0.3080168776371308,0.03223043152371774,0.852137693976939,0.27164932934947406
occupation_type,OCCUPATION_TYPE_idx=8,8537,0.02776160852782502,0.06700245988052009,0.3308162469124658,0.08152746866580766,0.4423076923076923,0.055618330194601384,0.8557807540858389,0.35312410195044613
occupation_type,OCCUPATION_TYPE_idx=9,6721,0.02185612872385053,0.10742449040321381,0.4236775704262526,0.14387739919654813,0.5124653739612188,0.09951658609768295,0.8317515061374495,0.3992054897116809
occupation_type,OCCUPATION_TYPE_idx=10,5946,0.019335893675348197,0.10443995963673057,0.41641633352010515,0.1501849983181971,0.5120772946859904,0.107981220657277,0.8303423979194544,0.3798731237210007
occupation_type,OCCUPATION_TYPE_idx=11,4653,0.015131166039588828,0.09606705351386202,0.39435693592989807,0.127444659359553,0.4563758389261745,0.0924869234427009,0.8250480564145606,0.37515726781497477
occupation_type,OCCUPATION_TYPE_idx=12,2652,0.008624081740165393,0.06598793363499246,0.3379443986723046,0.07692307692307693,0.3314285714285714,0.05894226887363747,0.8080073822019724,0.2494179104029813
occupation_type,OCCUPATION_TYPE_idx=13,2093,0.006806260589052099,0.17152412804586717,0.5590742769943305,0.3210702341137124,0.6545961002785515,0.2520184544405998,0.7839860178054509,0.417472016087721
occupation_type,OCCUPATION_TYPE_idx=14,1348,0.0043835830262982465,0.11275964391691394,0.42375563612499784,0.16468842729970326,0.5263157894736842,0.11872909698996656,0.8232210438303116,0.40144708311381544
occupation_type,OCCUPATION_TYPE_idx=15,1305,0.004243750630058762,0.07049808429118774,0.32879395878374185,0.0743295019157088,0.33695652173913043,0.05441055234954658,0.8149306426753646,0.268826070040654
occupation_type,OCCUPATION_TYPE_idx=16,751,0.0024421890599035483,0.07856191744340879,0.36003885702310356,0.09454061251664447,0.3898305084745763,0.06936416184971098,0.8393259527775055,0.282277759756581
occupation_type,OCCUPATION_TYPE_idx=17,563,0.001830828815879757,0.06394316163410302,0.2898909721209393,0.07282415630550622,0.4166666666666667,0.04933586337760911,0.9074425469112376,0.4214874224166737
occupation_type,OCCUPATION_TYPE_idx=18,526,0.0017105079167899686,0.06463878326996197,0.3068844164499976,0.058935361216730035,0.5294117647058824,0.026422764227642278,0.8857006217120995,0.44731680121403505
