comparison,metric,estimate,lower_95,upper_95
champion,roc_auc,0.7764561203602978,0.7699099318883534,0.7829180302123354
champion,average_precision,0.2639813012708453,0.25332447280425036,0.2756000306331309
champion,recall_at_top_10pct,0.35931520644511583,0.3474269889224572,0.37099697885196375
champion,ks,0.41226513002671034,0.40121744710051976,0.42757761563246666
champion,brier,0.1644893399938551,0.16305028494806084,0.16581505155482534
champion,ece,0.27415461370784405,0.2724909068432171,0.27583729519968453
challenger,roc_auc,0.7702719168603088,0.7641243298227144,0.7766781445675995
challenger,average_precision,0.25592480818782903,0.24583039054108594,0.2676015369884544
challenger,recall_at_top_10pct,0.3488418932527694,0.3369536757301108,0.3609365558912387
challenger,ks,0.4013351339029366,0.38989853333944635,0.4146245139621626
challenger,brier,0.16776810132649175,0.16623813798561143,0.1691143987480908
challenger,ece,0.27925214068487114,0.2775261277374088,0.28079785973432175
challenger_minus_champion,roc_auc,-0.006184203499988938,-0.008141186722281184,-0.004009808818794097
challenger_minus_champion,average_precision,-0.008056493083016258,-0.01154213515078678,-0.004314577735161921
challenger_minus_champion,recall_at_top_10pct,-0.010473313192346456,-0.01711983887210472,-0.004028197381671704
challenger_minus_champion,ks,-0.010929996123773711,-0.018483405113519414,-0.0034173075478257987
challenger_minus_champion,brier,0.0032787613326366594,0.002857624196991223,0.003694525963389163
challenger_minus_champion,ece,0.005097526977027089,0.004623788574351246,0.005590100816126614
